#type	etaMin	etaMax	r9Min	r9Max	gain	etMin	etMax
scale	0.	1.	0.00	0.675	-1	-1	-1
scale	0.	1.	0.675	0.775	-1	-1	-1
scale	0.	1.	0.775	0.85	-1	-1	-1
scale	0.	1.	0.85	0.90	-1	-1	-1
scale	0.	1.	0.90	0.94	-1	-1	-1
scale	0.	1.	0.94	0.96	-1	-1	-1
scale	0.	1.	0.96	0.9725	-1	-1	-1
scale	0.	1.	0.9725	0.9825	-1	-1	-1
scale	0.	1.	0.9825	10.0	-1	-1	-1
scale	1.	1.2	0.00	0.675	-1	-1	-1
scale	1.	1.2	0.675	0.775	-1	-1	-1
scale	1.	1.2	0.775	0.85	-1	-1	-1
scale	1.	1.2	0.85	0.90	-1	-1	-1
scale	1.	1.2	0.90	0.94	-1	-1	-1
scale	1.	1.2	0.94	0.96	-1	-1	-1
scale	1.	1.2	0.96	0.9725	-1	-1	-1
scale	1.	1.2	0.9725	0.9825	-1	-1	-1
scale	1.	1.2	0.9825	10.0	-1	-1	-1
scale	1.2	1.4442	0.00	0.675	-1	-1	-1
scale	1.2	1.4442	0.675	0.775	-1	-1	-1
scale	1.2	1.4442	0.775	0.85	-1	-1	-1
scale	1.2	1.4442	0.85	0.90	-1	-1	-1
scale	1.2	1.4442	0.90	0.94	-1	-1	-1
scale	1.2	1.4442	0.94	0.96	-1	-1	-1
scale	1.2	1.4442	0.96	0.9725	-1	-1	-1
scale	1.2	1.4442	0.9725	0.9825	-1	-1	-1
scale	1.2	1.4442	0.9825	10.0	-1	-1	-1
scale	1.566	2.	0.00	0.50	-1	-1	-1
scale	1.566	2.	0.50	0.60	-1	-1	-1
scale	1.566	2.	0.60	0.80	-1	-1	-1
scale	1.566	2.	0.80	0.90	-1	-1	-1
scale	1.566	2.	0.90	0.94	-1	-1	-1
scale	1.566	2.	0.94	0.96	-1	-1	-1
scale	1.566	2.	0.96	0.98	-1	-1	-1
scale	1.566	2.	0.98	10.0	-1	-1	-1
scale	2.	2.5	0.00	0.50	-1	-1	-1
scale	2.	2.5	0.50	0.60	-1	-1	-1
scale	2.	2.5	0.60	0.80	-1	-1	-1
scale	2.	2.5	0.80	0.90	-1	-1	-1
scale	2.	2.5	0.90	0.94	-1	-1	-1
scale	2.	2.5	0.94	0.96	-1	-1	-1
scale	2.	2.5	0.96	0.98	-1	-1	-1
scale	2.	2.5	0.98	10.0	-1	-1	-1
smear	0.	1.	0.	0.96	-1	-1	-1
smear	1.	1.2	0.	0.96	-1	-1	-1
smear	1.2	1.4442	0.	0.96	-1	-1	-1
smear	1.566	2.	0.	0.96	-1	-1	-1
smear	2.	2.5	0.	0.96	-1	-1	-1
smear	0.	1.	0.96	10.	-1	-1	-1
smear	1.	1.2	0.96	10.	-1	-1	-1
smear	1.2	1.4442	0.96	10.	-1	-1	-1
smear	1.566	2.	0.96	10.	-1	-1	-1
smear	2.	2.5	0.96	10.	-1	-1	-1
