#type	etaMin	etaMax	r9Min	r9Max	gain	etMin	etMax
scale	1.566	2.	0.00	0.50	-1	-1	-1
scale	1.566	2.	0.60	0.80	-1	-1	-1
scale	1.566	2.	0.80	0.90	-1	-1	-1
scale	1.566	2.	0.90	0.94	-1	-1	-1
scale	1.566	2.	0.94	0.96	-1	-1	-1
scale	1.566	2.	0.96	0.98	-1	-1	-1
scale	1.566	2.	0.98	10.0	-1	-1	-1
scale	2.	2.5	0.00	0.50	-1	-1	-1
scale	2.	2.5	0.60	0.80	-1	-1	-1
scale	2.	2.5	0.80	0.90	-1	-1	-1
scale	2.	2.5	0.90	0.94	-1	-1	-1
scale	2.	2.5	0.94	0.96	-1	-1	-1
scale	2.	2.5	0.96	0.98	-1	-1	-1
scale	2.	2.5	0.98	10.0	-1	-1	-1
smear	0.	1.	0.	0.96	-1	-1	-1
smear	1.	1.2	0.	0.96	-1	-1	-1
smear	1.2	1.4442	0.	0.96	-1	-1	-1
smear	1.566	2.	0.	0.96	-1	-1	-1
smear	2.	2.5	0.	0.96	-1	-1	-1
smear	0.	1.	0.96	10.	-1	-1	-1
smear	1.	1.2	0.96	10.	-1	-1	-1
smear	1.2	1.4442	0.96	10.	-1	-1	-1
smear	1.566	2.	0.96	10.	-1	-1	-1
smear	2.	2.5	0.96	10.	-1	-1	-1
