#type	etaMin	etaMax	r9Min	r9Max	gain	etMin	etMax
scale	1.566	2.	-1	-1	-1	0	45
scale	1.566	2.	-1	-1	-1	45	47
scale	1.566	2.	-1	-1	-1	47	50
scale	1.566	2.	-1	-1	-1	50	65
scale	1.566	2.	-1	-1	-1	65	100
scale	1.566	2.	-1	-1	-1	100	1000
scale	2.	2.5	-1	-1	-1	0	45
scale	2.	2.5	-1	-1	-1	45	47
scale	2.	2.5	-1	-1	-1	47	50
scale	2.	2.5	-1	-1	-1	50	65
scale	2.	2.5	-1	-1	-1	65	100
scale	2.	2.5	-1	-1	-1	100	1000
smear	0.	1.	-1	-1	-1	-1	-1
smear	1.	1.2	-1	-1	-1	-1	-1
smear	1.2	1.4442	-1	-1	-1	-1	-1
smear	1.566	2.	-1	-1	-1	-1	-1
smear	2.	2.5	-1	-1	-1	-1	-1
