#type	etaMin	etaMax	r9Min	r9Max	gain	etMin	etMax
scale	0.	1.	0.	0.96	-1	0	39
scale	0.	1.	0.	0.96	-1	39	50
scale	0.	1.	0.	0.96	-1	50	65
scale	0.	1.	0.	0.96	-1	65	14000
scale	0.	1.	0.96	10	-1	0	39
scale	0.	1.	0.96	10	-1	39	50
scale	0.	1.	0.96	10	-1	50	65
scale	0.	1.	0.96	10	-1	65	14000
scale	1.	1.4442	0.	0.96	-1	0	39
scale	1.	1.4442	0.	0.96	-1	39	50
scale	1.	1.4442	0.	0.96	-1	50	65
scale	1.	1.4442	0.	0.96	-1	65	14000
scale	1.	1.4442	0.96	10	-1	0	39
scale	1.	1.4442	0.96	10	-1	39	50
scale	1.	1.4442	0.96	10	-1	50	65
scale	1.	1.4442	0.96	10	-1	65	14000
scale	1.566	2.	0.	0.96	-1	0	39
scale	1.566	2.	0.	0.96	-1	39	50
scale	1.566	2.	0.	0.96	-1	50	65
scale	1.566	2.	0.	0.96	-1	65	14000
scale	1.566	2.	0.96	10	-1	0	39
scale	1.566	2.	0.96	10	-1	39	50
scale	1.566	2.	0.96	10	-1	50	65
scale	1.566	2.	0.96	10	-1	65	14000
scale	2.	2.5	0.	0.96	-1	0	39
scale	2.	2.5	0.	0.96	-1	39	50
scale	2.	2.5	0.	0.96	-1	50	65
scale	2.	2.5	0.	0.96	-1	65	14000
scale	2.	2.5	0.96	10	-1	0	39
scale	2.	2.5	0.96	10	-1	39	50
scale	2.	2.5	0.96	10	-1	50	65
scale	2.	2.5	0.96	10	-1	65	14000
smear	0.	1.	0.	0.96	-1	0	39
smear	0.	1.	0.	0.96	-1	39	50
smear	0.	1.	0.	0.96	-1	50	65
smear	0.	1.	0.	0.96	-1	65	14000
smear	0.	1.	0.96	10	-1	0	39
smear	0.	1.	0.96	10	-1	39	50
smear	0.	1.	0.96	10	-1	50	65
smear	0.	1.	0.96	10	-1	65	14000
smear	1.	1.4442	0.	0.96	-1	0	39
smear	1.	1.4442	0.	0.96	-1	39	50
smear	1.	1.4442	0.	0.96	-1	50	65
smear	1.	1.4442	0.	0.96	-1	65	14000
smear	1.	1.4442	0.96	10	-1	0	39
smear	1.	1.4442	0.96	10	-1	39	50
smear	1.	1.4442	0.96	10	-1	50	65
smear	1.	1.4442	0.96	10	-1	65	14000
smear	1.566	2.	0.	0.96	-1	0	39
smear	1.566	2.	0.	0.96	-1	39	50
smear	1.566	2.	0.	0.96	-1	50	65
smear	1.566	2.	0.	0.96	-1	65	14000
smear	1.566	2.	0.96	10	-1	0	39
smear	1.566	2.	0.96	10	-1	39	50
smear	1.566	2.	0.96	10	-1	50	65
smear	1.566	2.	0.96	10	-1	65	14000
smear	2.	2.5	0.	0.96	-1	0	39
smear	2.	2.5	0.	0.96	-1	39	50
smear	2.	2.5	0.	0.96	-1	50	65
smear	2.	2.5	0.	0.96	-1	65	14000
smear	2.	2.5	0.96	10	-1	0	39
smear	2.	2.5	0.96	10	-1	39	50
smear	2.	2.5	0.96	10	-1	50	65
smear	2.	2.5	0.96	10	-1	65	14000
