style	name	variable	eta0	r90	et0	eta1	r91	et1
paper	invMass_eta0to1-RSTp96-ene20to39_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0,0.96)	(20.,39.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta0to1-RSTp96-ene39to50_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0,0.96)	(39.,50.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta0to1-RSTp96-ene50to65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0,0.96)	(50.,65.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta0to1-RSTp96-eneBT65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0,0.96)	(65.,-1)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta0to1-RBTp96-ene20to39_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0.96,10)	(20.,39.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta0to1-RBTp96-ene39to50_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0.96,10)	(39.,50.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta0to1-RBTp96-ene50to65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0.96,10)	(50.,65.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta0to1-RBTp96-eneBT65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(0,1.)	(0.96,10)	(65.,-1)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RSTp96-ene20to39_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0,0.96)	(20.,39.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RSTp96-ene39to50_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0,0.96)	(39.,50.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RSTp96-ene50to65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0,0.96)	(50.,65.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RSTp96-eneBT65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0,0.96)	(65.,-1)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RBTp96-ene20to39_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0.96,10)	(20.,39.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RBTp96-ene39to50_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0.96,10)	(39.,50.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RBTp96-ene50to65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0.96,10)	(50.,65.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1to1p4442-RBTp96-eneBT65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.,1.4442)	(0.96,10)	(65.,-1)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1p5to2-RSTp96-ene20to39_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.566,2.)	(0,0.96)	(20.,39.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1p5to2-RSTp96-ene39to50_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.566,2.)	(0,0.96)	(39.,50.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1p5to2-RSTp96-ene50to65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.566,2.)	(0,0.96)	(50.,65.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1p5to2-RSTp96-eneBT65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.566,2.)	(0,0.96)	(65.,-1)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1p5to2-RBTp96-ene20to39_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.566,2.)	(0.96,10)	(20.,39.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1p5to2-RBTp96-ene39to50_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.566,2.)	(0.96,10)	(39.,50.)	(0,1.4442)	(-1,-1)	(-1,-1)
paper	invMass_eta1p5to2-RBTp96-ene50to65_sub_ele_eta_0to1p4	invMass_ECAL_ele	(1.566,2.)	(0.96,10)	(50.,65.)	(0,1.4442)	(-1,-1)	(-1,-1)
