style	name	variable	eta0	r90	et0	eta1	r91	et1
crossCheckMC	invMass_Barrel-Barrel	invMass_ECAL_ele	(0,1.4442)	(-1,-1)	(-1,-1)	(0,1.4442)	(-1,-1)	(-1,-1)
crossCheckMC	invMass_Barrel-Barrel_highR9	invMass_ECAL_ele	(0,1.4442)	(0.96,100)	(-1,-1)	(0,1.4442)	(0.96,100)	(-1,-1)
crossCheckMC	invMass_Barrel-Endcap	invMass_ECAL_ele	(0,1.4442)	(-1,-1)	(-1,-1)	(1.566,2.5)	(-1,-1)	(-1,-1)
crossCheckMC	invMass_Barrel-Endcap_highR9	invMass_ECAL_ele	(0,1.4442)	(0.96,100)	(-1,-1)	(1.566,2.5)	(0.96,100)	(-1,-1)
crossCheckMC	invMass_Endcap-Endcap	invMass_ECAL_ele	(1.566,2.5)	(-1,-1)	(-1,-1)	(1.566,2.5)	(-1,-1)	(-1,-1)
crossCheckMC	invMass_Pt-40-55	invMass_ECAL_ele	(-1,-1)	(-1,-1)	(40,55)	(-1,-1)	(-1,-1)	(-1,-1)
crossCheckMC	invMass_Pt-55-65	invMass_ECAL_ele	(-1,-1)	(-1,-1)	(55,65)	(-1,-1)	(-1,-1)	(-1,-1)
crossCheckMC	invMass_Pt-65-90	invMass_ECAL_ele	(-1,-1)	(-1,-1)	(65,90)	(-1,-1)	(-1,-1)	(-1,-1)
crossCheckMC	invMass_Pt-90-Inf	invMass_ECAL_ele	(-1,-1)	(-1,-1)	(90,14000)	(-1,-1)	(-1,-1)	(-1,-1)

